id_veterinario,nombre,especialidad,telefono,email
1,Liv Domek,Oncología veterinaria,100 706 1130,ldomek0@nba.com
2,Jade Olle,Anestesiología veterinaria,297 394 9238,jolle1@topsy.com
3,Granthem Bothwell,Anestesiología veterinaria,456 353 9186,gbothwell2@xrea.com
4,Johnath Newnham,Oftalmología veterinaria,688 816 7417,jnewnham3@free.fr
5,Cirstoforo Tolson,Anestesiología veterinaria,691 781 3512,ctolson4@wordpress.org
6,Randy Vowden,Neurología veterinaria,966 429 1500,rvowden5@dropbox.com
7,Maurizia Sandbach,Nutrición veterinaria,955 127 1971,msandbach6@theguardian.com
8,Nil Follos,Nutrición veterinaria,488 693 5138,nfollos7@sakura.ne.jp
9,Steffi Bunney,Oftalmología veterinaria,308 636 7187,sbunney8@last.fm
10,Stefano Jentges,Oncología veterinaria,549 265 7836,sjentges9@toplist.cz
11,Bancroft Gossipin,Endocrinología veterinaria,178 278 4101,bgossipina@intel.com
12,Erma Bickerdyke,Cardiología veterinaria,329 867 5535,ebickerdykeb@a8.net
13,Mella Tommaseo,Oncología veterinaria,834 393 1311,mtommaseoc@fastcompany.com
14,Geoffrey Pleager,Oncología veterinaria,974 960 1095,gpleagerd@time.com
15,Herc Grange,Endocrinología veterinaria,698 985 7210,hgrangee@purevolume.com
16,Coleman Gooday,Oftalmología veterinaria,884 742 0092,cgoodayf@addtoany.com
17,Alfie Dearn,Nutrición veterinaria,540 592 2538,adearng@zdnet.com
18,Lion Pizzey,Cardiología veterinaria,349 861 4274,lpizzeyh@devhub.com
19,Ame Wewell,Rehabilitación veterinaria,112 319 3688,awewelli@flickr.com
20,Lamar Handover,Dermatología veterinaria,965 899 2284,lhandoverj@wix.com
